,ts,longitude,latitude,altitude,accuracy,motion_score,y,x
1273,2021-10-27 12:48:41+02:00,13.3760329833333,52.5282648666667,92.008,14.2869777679443,15.780191490914902,4849250.969995818,1848564.6500406764
1274,2021-10-27 12:48:51+02:00,13.37603135,52.5282697666667,93.067,14.3235645294189,16.219374881651294,4849251.65893155,1848564.5447290277
1275,2021-10-27 12:49:01+02:00,13.3760054666667,52.5282699,95.915,13.1060819625855,16.640542259241236,4849252.301456181,1848561.04367673
1276,2021-10-27 12:49:11+02:00,13.3759241833333,52.5282350333333,93.884,13.6386575698853,16.47787793601047,4849249.64206094,1848549.215063006
1277,2021-10-27 12:49:21+02:00,13.37589425,52.5281992,81.051,13.883599281311,16.296140323625966,4849245.614889908,1848544.3156039529
1278,2021-10-27 12:49:31+02:00,13.3759085,52.5281908666667,78.3,14.3529348373413,16.35235711289441,4849244.166282636,1848546.0478689547
1282,2021-10-27 12:50:11+02:00,13.3760135,52.5282733333333,89.031,15.0,15.63248009078642,4849252.56261879,1848562.2124163073
1293,2021-10-27 12:52:01+02:00,13.3758511,52.5281622666667,61.874,15.0,15.743954778930611,4849241.760968619,1848537.6008181241
1295,2021-10-27 12:52:21+02:00,13.37595855,52.5282226166667,64.38,15.0,15.479088635942665,4849247.166563453,1848553.5743004163
1296,2021-10-27 12:52:31+02:00,13.3760589166667,52.5282809666667,88.249,15.0,15.810988352938644,4849252.478025212,1848568.5415535604
1297,2021-10-27 12:52:41+02:00,13.3760859,52.5283138,98.383,15.0,15.544430678108656,4849256.178743104,1848572.9707326964
1298,2021-10-27 12:52:51+02:00,13.3760835166667,52.52831365,98.729,15.0,15.38617898491054,4849256.216396855,1848572.6445206746
1303,2021-10-27 12:53:41+02:00,13.37617505,52.5284048833333,95.402,15.0,15.945840214865814,4849266.099831771,1848587.1931422423
1304,2021-10-27 12:53:51+02:00,13.3762076166667,52.5284264666667,93.878,15.0,15.86079645328276,4849268.174540278,1848592.1123227435
1305,2021-10-27 12:54:01+02:00,13.3761324166667,52.5283813166667,94.488,15.0,15.773249998714869,4849264.005248755,1848580.8642128534
1306,2021-10-27 12:54:11+02:00,13.3761413333333,52.5284134833333,96.424,15.0,15.954423553553582,4849268.053749642,1848582.8316944514
1310,2021-10-27 12:54:51+02:00,13.3759356,52.5283104166667,82.433,15.0,15.367141680224597,4849259.358681075,1848552.5424539477
1311,2021-10-27 12:55:01+02:00,13.3759817833333,52.5283482666667,82.433,15.0,14.807774846890387,4849263.260871856,1848559.6895915521
1313,2021-10-27 12:55:21+02:00,13.3759519833333,52.52840005,81.313,15.0,14.466945764456067,4849270.844278293,1848556.8790783163
1314,2021-10-27 12:55:31+02:00,13.3758180166667,52.5283402833333,76.532,15.0,14.664750119367543,4849266.156144247,1848537.329389386
1315,2021-10-27 12:55:41+02:00,13.375835,52.52831755,77.363,15.0,417.12612957261183,4849262.732794274,1848539.0913543361
1316,2021-10-27 12:55:51+02:00,13.37587805,52.5283171833333,73.777,15.0,443.2327920715013,4849261.644928465,1848544.9110006548
1317,2021-10-27 12:56:01+02:00,13.3761017,52.5285005333333,59.652,15.0,444.894505425114,4849280.54923188,1848579.5234891882
1318,2021-10-27 12:56:11+02:00,13.3758543166667,52.5282876,58.893,15.0,444.7487632649866,4849258.296530836,1848540.9986447243
1319,2021-10-27 12:56:21+02:00,13.37583485,52.5282646166667,59.354,15.0,444.8987248552816,4849255.719976822,1848537.819928407
1320,2021-10-27 12:56:31+02:00,13.3757926166667,52.5282323,62.348,15.0,445.70037159889546,4849252.455869352,1848531.3383576202
1321,2021-10-27 12:56:41+02:00,13.3760799166667,52.5284298166667,84.332,15.0,576.4090337939998,4849271.701453013,1848574.9028747007
1322,2021-10-27 12:56:51+02:00,13.3761173666667,52.5284421666667,88.464,15.0,662.5687442814258,4849272.434378932,1848580.2649425792
1323,2021-10-27 12:57:01+02:00,13.37602095,52.5283742666667,87.031,15.0,663.7889668018286,4849265.761703389,1848565.6066972457
1324,2021-10-27 12:57:11+02:00,13.3757454166667,52.5281994166667,79.18,15.0,661.9144838875924,4849249.2365423115,1848524.1709873707
1325,2021-10-27 12:57:21+02:00,13.3756636833333,52.5281634833333,74.929,15.0,656.436634483571,4849246.446572548,1848512.256252113
1327,2021-10-27 12:57:41+02:00,13.3758483833333,52.5282157666667,73.19,15.0,487.6105159033061,4849248.91809331,1848538.497530316
1328,2021-10-27 12:57:51+02:00,13.3758467833333,52.5282109,70.883,14.965708732605,502.7715310456581,4849248.3116308935,1848538.1658880766
1329,2021-10-27 12:58:01+02:00,13.37582505,52.5282028333333,72.01,13.3026504516602,515.6826859637792,4849247.767033628,1848535.032869096
1330,2021-10-27 12:58:11+02:00,13.3758228166667,52.5281880833333,74.07,12.1024017333984,522.643743200694,4849245.865802266,1848534.3818849833
1334,2021-10-27 12:58:51+02:00,13.3759551166667,52.5282592166667,81.321,11.5476408004761,333.6925845498508,4849252.100855996,1848553.9745527508
1335,2021-10-27 12:59:01+02:00,13.3759932,52.5282468,81.593,10.4467573165894,334.8311479056927,4849249.535631771,1848558.8369690725
1336,2021-10-27 12:59:11+02:00,13.3760087666667,52.5282410666667,82.394,12.8503847122192,332.66907460853935,4849248.399871508,1848560.8089422907
1337,2021-10-27 12:59:21+02:00,13.3759994333333,52.52823285,82.075,15.0,331.79403333095297,4849247.536051117,1848559.35114484
1338,2021-10-27 12:59:31+02:00,13.3758457,52.5281534166667,73.532,15.0,341.492183340923,4849240.718241566,1848536.6605667463
1339,2021-10-27 12:59:41+02:00,13.3757847166667,52.5281551333333,73.261,15.0,365.20806019328217,4849242.41796288,1848528.4449424478
1340,2021-10-27 13:00:11+02:00,13.3758351666667,52.5280999833333,73.839,15.0,403.7010578442856,4849233.889821226,1848533.971590542
1342,2021-10-27 13:00:31+02:00,13.3758623333333,52.5280975333333,73.389,10.138237953186,512.341257262939,4849232.909249643,1848537.5916264432
1343,2021-10-27 13:00:41+02:00,13.3758180333333,52.52806785,74.72,9.39164257049561,547.7656741776304,4849230.044089167,1848530.8925175318
1345,2021-10-27 13:01:01+02:00,13.3758196833333,52.5280632166667,75.484,11.0030269622803,594.4942549466981,4849229.390099546,1848531.0063907988
1346,2021-10-27 13:01:11+02:00,13.3759340166667,52.5280060833333,70.252,13.1567687988281,609.9727381770446,4849219.056896049,1848545.1349524092
1347,2021-10-27 13:01:21+02:00,13.3761029333333,52.52800375,79.789,11.3473339080811,625.3486302983652,4849214.669833323,1848567.9484431352
1348,2021-10-27 13:01:31+02:00,13.3762408166667,52.5279935166667,81.255,11.6229152679443,627.6800841473902,4849209.984747705,1848586.3737737334
1349,2021-10-27 13:01:41+02:00,13.3762546333333,52.52799505,78.454,13.4601631164551,612.6101811059749,4849209.854443436,1848588.2805712766
1351,2021-10-27 13:02:01+02:00,13.3763013333333,52.5280860666667,79.987,11.7093811035156,571.9385004876883,4849220.791442267,1848596.7542883686
1352,2021-10-27 13:02:11+02:00,13.3763858666667,52.5281387,80.504,6.98050832748413,522.8282685050349,4849225.7273158785,1848609.4428175685
1353,2021-10-27 13:02:21+02:00,13.3762981166667,52.5280553,102.436,6.22718095779419,490.4758160265199,4849216.7909288965,1848595.591595911
1354,2021-10-27 13:02:31+02:00,13.37639665,52.52795605,94.386,4.92798900604248,445.8652591039053,4849201.256484748,1848606.5855362706
1355,2021-10-27 13:02:41+02:00,13.3764851666667,52.5279274833333,102.378,4.96172571182251,401.91583893639074,4849195.333025714,1848617.8940500887
1356,2021-10-27 13:02:51+02:00,13.3765038166667,52.5279136833333,103.992,5.03293991088867,401.91583893639074,4849193.053583213,1848620.0927755649
1378,2021-10-27 13:06:31+02:00,13.3765376,52.5278025833333,94.194,4.42728900909424,565.8443020648924,4849177.511597399,1848622.040493482
1380,2021-10-27 13:06:51+02:00,13.37654295,52.5277999833333,95.24,4.31221580505371,593.0074211576854,4849177.037808852,1848622.7033410924
